Date (yr-month-day),Newspaper title,Article Title,page(s),Location,Overall Portrayal,Prostitution/Sex,Crime,Poverty,Keywords
1885-02-07,Lloyd's Weekly Newspaper,Unraveling the plots at home,7,30 Great Prescott Street,negative,,yes,,"bombing, arrest, box, witnesses"
1885-02-07,Lloyd's Weekly Newspaper,Prince Albert Victor in Whitechapel,6,"86 Leman Street, Whitechapel",positive,,,yes,royal visit
1885-02-07,Beverley and East Riding Recorder,The Dynamite Outrages in London,2,"30 Prescot street, Whitechapel",negative,,yes,,"bombing, arrest, box, witnesses"
1885-02-07,Bucks Herald,Court and Fashionable News,3,"86 Leman Street, Whitechapel",positive,,,,royal visit
1885-02-07,Bucks Herald,General News,7,"Great Prescot street, Whitechapel",negative,,yes,,"bombing, box"
1885-02-07,Cardiff Times,Arrest of Another Dynamiter in London,2,Bow Street Police Court; Whitechapel,negative,,yes,,"bombing, arrest, box"
1885-02-07,Chepstow Weekly Advertiser,Prince Albert Victor and the Shoeblacks,2,"86 Leman Street, Whitechapel",positive,,,,royal visit
1885-02-08,Reynolds's Newspaper,Re-examination of the Suspected Dynamiter,3,"30 Great Prescott Street, Whitechapel",negative,,yes,,"bombing, arrest, box"
1885-02-08,Reynolds's Newspaper,Arrest of another suspected Dynamiter,5,Bow Street Police Court,negative,,yes,,"bombing, arrest, box, witnesses"
1885-02-09,Edinburgh Evening News,The Dynamite Outrages in London,3,"Great Prescott street, Whitechapel",negative,,yes,,"bombing, arrest, box, witnesses"
1885-02-09,Nottingham Evening Post,The Dynamite Conspiracy,3,"Great Prescott street, Whitechapel",negative,,yes,,"bombing, arrest, box, witnesses"
1885-02-10,Morning Post,The Dynamite Conspiracy,2,"30 Great Prescott street, Whitechapel",negative,,yes,,"bombing, witnesses"
1885-02-10,Aberdeen Journal,The Dynamite Outrages,6,Bow Street Police Court; Whitechapel,negative,,yes,,"bombing, box, testimony"
1885-02-11,London Daily News,This evening a meeting...,5,"St. Mary's Schoolroom, Whitechapel",neutral,,,,"politics, representation"
1885-02-12,Banbury Advertiser,The Dynamite Outrages,7,"Great Prescott street, Whitechapel",negative,,yes,,"bombing, witnesses, box"
1885-02-13,Newcastle Courant,Travel and Adventure,6,"Ratcliff Highway, Whitechapel",negative,,yes,yes,"travel, impressions"
1885-02-13,Chelmsford Chronicle,A Wealthy Wanderer,5,"81 Wentworth Street, Whitechapel",neutral,,,,lost man
1885-02-13,Birmingham Daily Post,London Gossip,7,"Toynbee Hall, Whitechapel",positive,,,,"education, improvement"
1885-02-14,Aberdeen Journal,The Dynamite Outrages,3,Bow Street Police Court; Whitechapel,negative,,yes,,"bombing, testimony"
1885-02-15,Lloyd's Weekly Newspaper,Wednesday (8),3,"3 Baker's Row, Whitechapel",neutral,,,,fire
1885-02-15,Lloyd's Weekly Newspaper,Yesterday's Police,12,"Salvation Army Hall, Whitechapel; 91 Bishop's road, Victoria Park",negative,,yes,,"assault, Salvation Army"
1885-02-20,Morning Post,Police Intelligence,6,"51 Mansell street, Whitechapel",negative,,yes,,theft
1885-02-22,Reynolds's Newspaper,Summary of Latest Home News,8,"Baker's Row, Whitechapel",neutral,,,,"public house, injury, accident"
1885-02-22,Lloyd's Weekly Newspaper,The Dynamite Outrages,4,17 William-lane,negative,,yes,,"bombing, witnesses"
1885-02-28,Dublin Weekly Nation,"To the Readers of the ""Nation""",13,"9 Leman Streeet, Whitechapel",positive,,,,abstinence
1885-02-28,The Graphic,A most interesting East London Industrial Exhibition,8,"Drill Hall, Whitechapel",positive,,,,"show, working class"
1885-02-28,The Graphic,Old-Fashioned Theatrical Managers,28,"Garrick Theatre, Leman Street, Whitechapel",positive,,,,theatre
1885-02-28,Oxford Journal,Dr. Barnardo's Work among the waifs and strays,6,"Dr. Barnardo's home, Whitechapel",positive,,,yes,"children, chairty"
1885-02-28,The Era,"""Dora Ingram"" at the Pavillion",9,"The Pavillion, Whitechapel Road",positive,,,,"theatre, review"
1885-03-01,Lloyd's Weekly Newspaper,Police Intelligence,4,"Milk street, Whitechapel",negative,,yes,,"breaking and entering, robbery"
1885-03-01,Lloyd's Weekly Newspaper,Summary of Latest Home News,8,"Brick lane, Whitechapel",neutral,,,,accident
1885-03-01,Reynolds's Newspaper,Fatal Accident to a constable,3,"Royal Mint Street, Whitechapel",neutral,,,,"accident, death"
1885-03-02,Western Daily Press,District News- The Distress in East London,6,"St. Mary's, Whitechapel",positive,,,yes,"poverty, donations"
1885-03-02,Gloucestershire Echo,Fatal Accident to a Constable,3,"Royal Mint Street, Whitechapel",neutral,,,,"accident, death"
1885-03-02,Gloucester Citizen,Fatal Accident to a Constable,4,"Royal Mint Street, Whitechapel",neutral,,,,"accident, death"
1885-03-02,Nottingham Evening Post,Desperate chase of a thief-A policeman killed,3,"Royal Mint Street, Whitechapel",neutral,,,,"accident, death"
1885-03-02,St. James's Gazette,A Policeman killed while pursuing a burglar,8,"Royal Mint Street, Whitechapel",neutral,,,,"accident, death"
1885-03-02,Pall Mall Gazette,Shocking Murder at the East-End,8,"Rutland Street, Whitechapel",negative,,yes,,murder
1885-03-03,Morning Post,Alleged Shocking Murder at the East End,3,"Rutland Street, Whitechapel",negative,,yes,,murder
1885-03-03,Edinburgh Evening News,Terrible Tragedy in London-Murder Through Jealousy,4,"No.25 Rutland Street, Whitechapel",negative,,yes,,murder
1885-03-03,Liverpool Mercury,A Policeman Killed while pursuing a burglar,5,"Royal Mint Street, Whitechapel",neutral,,,,"accident, death"
1885-03-03,Liverpool Mercury,Tragedy in London,5,"No.25 Rutland Street, Whitechapel",negative,,yes,,murder
1885-03-03,Leeds Mercury,A Policeman Killed while pursuing a burglar,3,"Royal Mint Street, Whitechapel",neutral,,,,"accident, death"
1885-03-03,London Evening Standard,Fatal Chase of a Burglar,3,"Royal Mint Street, Whitechapel",negative,,,,"accident, death"
1885-03-03,Aberdeen Free Press,Policeman Killed at Whitechapel,6,"Royal Mint Street, Whitechapel",neutral,,,,"accident, death"
1885-03-03,Cheltenham Chronicle,Police constable Barber...,5,"Royal Mint street, Whitechapel",neutral,,,,"accident, death"
1885-03-04,Dundee Courier,Shocking Murder through Jealousy,4,"No.25 Rutland Street, Whitechapel",negative,,yes,,murder
1885-03-05,London Daily News,The Fatal Accident to a Detective,3,"Goods-yard, Royal Mint Street",neutral,,,,"inquest, accident, witnesses"
1885-03-05,London Evening Standard,Fires in London,3,"172, Oxford Street, Whitechapel",neutral,,,,fire
1885-03-06,Shields Daily Gazette,The Dynamite Conspiracy,3,Commercial Road Police Station,negative,,yes,,"suspected bombing, death threats"
1885-03-06,Nottingham Evening Post,The Dynamite Case: Threatening a Detective,3,Commercial Road Police Station,negative,,yes,,"suspected bombing, death threats"
1885-03-06,Pall Mall Gazette,Reported Design to blow up a Police station,8,Commercial Road Police Station,negative,,yes,,"suspected bombing, death threats"
1885-03-06,St. James's Gazette,Alleged Design to Blow up a Police Station,8,Commercial Road Police Station,negative,,yes,,"suspected bombing, death threats"
1885-03-06,London Evening Standard,Election Intelligence,5,"St. Mary's Schoolroom, Whitechapel",neutral,,,,"elections, politics"
1885-03-06,Lincolnshire Chronicle,General News,3,"Royal Mint Street buildings, Whitechapel",neutral,,yes,,"accident, death"
1885-03-06,Newcastle Courant,Terrible Tragedy in London,3,"No.25 Rutland Street, Whitechapel",negative,,yes,,murder
1885-03-07,Morning Post,Alleged Design to Blow up a Police Station,3,Commercial Road Police Station,negative,,yes,,suspected bombing
1885-03-07,Flag of Ireland,London Hibernian Club,7,"4 Thomas street, Whitechapel",neutral,,,,politics
1885-03-07,London Daily News,Destructive Fires,3,No 3. King's Arms Court (opposite of Whitechapel Church); Whitechapel Road,neutral,,,,fire
1885-03-07,London Daily News,To-day,3,"Toynbee Hall, Whitechapel",positive,,,,"education, university"
1885-03-07,Gloucester Citizen,Reported Design to blow up a Police station,3,Commercial Road Police Station,negative,,yes,,"suspected bombing, death threats"
1885-03-08,Lloyd's Weekly Newspaper,Fires,3,"172 Oxford Street, Whitechapel",neutral,,,,fire
1885-03-08,Lloyd's Weekly Newspaper,Funeral Yesterday,1,Leman street,neutral,,yes,,"funeral, death, accident"
1885-03-08,Lloyd's Weekly Newspaper,Attempt to Blow up a Police Station,7,Commercial Road Police Station,negative,,yes,,"suspected bombing, death threats"
1885-03-09,Morning Post,Mr. Goschen on University Teaching,3,"Toynbee Hall, Whitechapel",positive,,,,"education, lectures, improvement"
1885-03-09,Edinburgh Evening News,Mr. Goschen and the Education of the Masses,4,"Toynbee Hall, Whitechapel",positive,,,,"education, lectures, improvement"
1885-03-09,Pall Mall Gazette,Occasional Notes,3,"Toynbee Hall, Whitechapel",positive,,,,"education, lectures, improvement"
1885-03-13,Birmingham Daily Post,London Gossip,7,"Toynbee Hall, Whitechapel",positive,,,yes,"education, university, class"
1885-03-14,Illustrated Police News,Tragedy in the East End-Shocking Murder Through Jealousy,2,"No. 25 Rutland street, Whitechapel",negative,,yes,,murder
1885-03-14,Illustrated Police News,Fatal Pursuit of a Burglar,2,"Royal Mint Street, Whitechapel",neutral,,yes,,"accident, death"
1885-03-15,Lloyd's Weekly Newspaper,Middlesex Sessions,4,"High Street, Whitechapel",negative,,yes,,"theft, court"
1885-03-15,Reynolds's Newspaper,Fires in London,8,"82 Rutland Street, Whitechapel",neutral,,,,fire
1885-03-20,Morning Post,Fine Art in Whitechapel,3,"St. Jude's Schools, Commercial Street, Whitechapel",positive,,,,art show
1885-03-20,Pall Mall Gazette,Fine Art in Whitechapel,10,"St. Jude's Schools, Commercial Street, Whitechapel",positive,,,,art show
1885-03-20,London Evening Standard,The Fifth Free Loan Exhibition of Pictures...,7,"St. Jude's Schools, Commercial Street, Whitechapel",positive,,,,art show
1885-03-20,Morning Post,Arrangements for this day,5,"Central Rooms, Whitechapel",neutral,,,,"meeting, sugar bounties"
1885-03-21,Illustrated Police News,"On Saturday, at the...",2,Whitechapel station of the East London Railway,negative,,yes,,public drunkeness
1885-03-21,Leicester Chronicle,Our Ladies' Column,9,"Toynbee Hall, Whitechapel",neutral,,,yes,"Improvement, education, class"
1885-03-21,Shoreditch Observer,Religious Service at the Pavillion Theatre,4,"The Pavillion, Whitechapel Road",neutral,,,,Religion
1885-03-21,Freeman's Journal,London Hibernian Club and Institute,4,"no. 4 Thomas Street, Whitechapel",neutral,,,,politics
1885-03-22,Lloyd's Weekly Newspaper,Lords and Bishiops Bar the Way,6,"St. Jude's Schools, Commercial Street, Whitechapel",positive,,,yes,"art show, Sunday observance, religion"
1885-03-22,Lloyd's Weekly Newspaper,Singular Death in a Workhouse,12,"Weaver's Arms, Baker-Row, Whitechapel",neutral,,,,"Inquest, death, accident"
1885-03-23,Pall Mall Gazette,Fires in the Metropolis,8,120 Whitechapel Road,neutral,,,,Fire
1885-03-24,Pall Mall Gazette,Great Robbery of Cigars,10,"Horse and Leaping Bar Tavern, Whitechapel",negative,,yes,,"Breaking and entering, robbery"
1885-03-24,Morning Post,Capture of Alleged House-Breakers,3,"Horse and Leaping Bar Tavern, Whitechapel",negative,,yes,,"Breaking and entering, robbery"
1885-03-24,Yorkshire Gazette,Labour Representation,6,"central Rooms Leman street, Whitechapel",neutral,,,,"politics, working class"
1885-03-25,Morning Post,John Small was remanded...,4,"Earl of Aberdeen beerhouse, Whitechapel Road",negative,,yes,,"breaking and entering, assaulting an officer"
1885-03-25,Yorkshire Gazette,Struggle with a burglar,5,"Earl of Aberdeen beerhouse, Whitechapel Road",negative,,yes,,"breaking and entering, assaulting an officer"
1885-03-26,Morning Post,The Murder at the East End,6,Thames Police Court,negative,,yes,,murder
1885-03-27,Bristol Mercury,The East-End of London-Letters to the Editor,7,"St. Jude's Schools, Commercial Street",negative,,,yes,"poverty, crowding"
1885-03-28,Whitby Gazette,The Sunday Question,2,"St. Jude's School, Whitechapel",positive,,,,"art show, Sunday observance"
1885-03-28,Bury Free Press,The Sunday Question,6,"St. Jude's School, Whitechapel",positive,,,,"art show, Sunday observance"
1885-03-28,Yorkshire Gazette,Struggle with a burglar,5,"  Earl of Aberdeen beerhouse, Whitechapel Road",neutral,,yes,,"breaking and entering, assaulting an officer"
1885-03-28,Swindon Advertiser,To Dwellers in the...,4,"St. Jude's School, Whitechapel",positive,,,,"art show, Sunday observance"
1885-03-28,Buckingham Advertiser,The Sunday Question,6,Whitechapel Fine Art Exhibition,positive,,,,"art show, Sunday observance"
1885-03-28,Cheltenham Chronicle,The Sunday Question,2,Whitechapel Fine Art Exhibition,positive,,,,"art show, Sunday observance"
1885-03-29,Lloyd's Weekly Newspaper,Whitechapel Fine Art Exhibition,1,"St. Jude's Schoolrooms, Whitechapel",positive,,,,"art show, Sunday observance, religion"
1885-03-29,Lloyd's Weekly Newspaper,Fires,3,120 Whitechapel Road,neutral,,,,fire
1885-03-29,Reynolds's Newspaper,Whitechapel Fine Art Exhibition,1,"St. Jude's Schoolrooms, Whitechapel",positive,,,,art show
1885-03-30,Pall Mall Gazette,The promoters of the...,3,"St. Jude's Schoolrooms, Whitechapel",positive,,,,art show
1885-03-31,London Daily News,Exhibitions to Come,6,"Drill Hall, Whitechapel",positive,,,,"exhibition, working class, royal visit"
1885-03-31,Yorkshire Gazette,Street-Gambling,5,"Middlesex-street, Whitechapel",negative,,yes,,gambling
1885-03-31,London Evening Standard,Worship Street,6,"Middlesex-street, Whitechapel",negative,,yes,,gambling
1885-03-31,St. James's Gazette,Street-gambling at the East End,13,"Middlesex-street, Whitechapel",negative,,yes,,gambling
1885-04-01,Morning Post,A Desperate Burglar,3,"Earl of Aberdeen beerhouse, Whitechapel Road",negative,,yes,,"breaking and entering, assaulting an officer"
1885-04-01,London Evening Standard,Thames,6,"Earl of Aberdeen beerhouse, Whitechapel Road",negative,,yes,,"breaking and entering, assaulting an officer"
1885-04-01,Nottingham Evening Post,Metropolitan Notes,2,"St. Jude's Schoolrooms, Whitechapel",positive,,,,art show
1885-04-01,Dundee Courier,A Begging Letter Organization,3,"St. George's Lodginghouse, Whitechapel",negative,,yes,,"begging, fraud"
1885-04-02,Banbury Advertiser,Street Gambling in London,3,"Middlesex-street, Whitechapel",negative,,yes,,gambling
1885-04-02,Aberdeen Journal,A Begging Letter Organization,6,"St. George's Lodginghouse, Whitechapel",negative,,yes,,"begging, fraud"
1885-04-03,Morning Post,By command of the Queen...,5,"London Hospital, Whitechapel",positive,,,,Royal donation
1885-04-04,Shoreditch Observer,Sunday Gambling at the East End,3,"Middlesex Street, Whitechapel",negative,,yes,,gambling
1885-04-04,London Daily News,Good Friday in the Metropolis,6,"St. Jude's schools, Whitechapel",positive,,,,"art show, open spaces"
1885-04-04,Illustrated Police News,Desperate Struggle,2,"Earl of Aberdeen beerhouse, 120 Whitechapel Road",negative,,yes,,"breaking and entering, assaulting an officer"
1885-04-04,Illustrated Police News,Gambling in a Public Thoroughfares,4,"Middlesex-street, Whitechapel",negative,,yes,,gambling
1885-04-05,Lloyd's Weekly Newspaper,Whitechapel Fine Art Exhibition,3,"St. Jude's Schoolrooms, Whitechapel",positive,,,,"art show, Rev. Barnett"
1885-04-05,Lloyd's Weekly Newspaper,Mansion House,4,Pub on Anthony Street,negative,,yes,,"breaking and entering, robbery, sale of stolen goods"
1885-04-05,Lloyd's Weekly Newspaper,Worship Street,4,"Worship Street Police Court; Middlesex-street, Whitechapel",negative,,yes,,gambling
1885-04-05,Lloyd's Weekly Newspaper,Fires in the Metropolis,12,"18 Church lane, Whitechape",neutral,,,,fire
1885-04-07,London Evening Standard,Police Intelligence,6,Worship Street Police Court,negative,,yes,,gambling
1885-04-07,Pall Mall Gazette,Occasional Notes,3,"Toynbee Hall, Whitechapel",neutral,,,,"politics, lecture"
1885-04-08,Aberdeen Free Press,Mr. Fawcett's First Candidature,3,"Toynbee Hall, Whitechapel",neutral,,,,"politics, lecture"
1885-04-11,Chepstow Weekly Advertiser,Foreign Surgar Bounties,2,"Trafalgar Hotel, Leman street, Whitechapel",neutral,,,,politics
1885-04-11,Dundee Evening Telegraph,Whitechapel Loan Exhibition,2,"St. Jude's Schoolrooms, Whitechapel",positive,,,,art show
1885-04-11,Beverley and East Riding Recorder,"""A remarkable loan collection...""",3,"St. Jude's Schoolrooms, Whitechapel",positive,,,,art show
1885-04-11,Buckingham Advertiser,Foreign Surgar Bounties,7,"Trafalgar Hotel, Leman street, Whitechapel",neutral,,,,"sugar bounties, politics"
1885-04-13,Pall Mall Gazette,Occasional Notes,3,"St. Jude's Schoolrooms, Whitechapel",positive,,,,"art show, working class"
1885-04-14,Pall Mall Gazette,Guild of Co-operators,10,"Hooper Square, Leman Street, Whitechapel",neutral,,,,meeting
1885-04-15,Edinburgh Evening News,The Working Classes and Sunday Art Exhbitions,3,"St. Jude's Schoolrooms, Whitechapel",positive,,,,art show
1885-04-15,London Evening Standard,The Murder at the East End,3,Whitechapel Road,negative,,yes,,"inquest, murder"
1885-04-18,Freeman's Journal,A Novel Exhibition,12,"Drill Hall, Whitechapel",positive,,,,"improvement, industry, royal visit"
1885-04-18,Yorkshire Gazette,General News,9,"London Hospital, Whitechapel",positive,,,,Royal visit
1885-04-18,Morning Post,Imprudent Street Robbery,3,"High Street, Whitechapel",negative,,yes,,"robbery, ""roughs"""
1885-04-18,Bury Free Press,On Wednesday the Princess...,3,"London Hospital, Whitechapel",positive,,,,royal visit
1885-04-24,Chelmsford Chronicle,An Ongar Woman Robbed,8,"High Street, Whitechapel",negative,,yes,,robbery
1885-04-24,Belfast News-letter,At about ten minutes...,4,"Admiralty offices, Whitechapel",negative,,yes,,bombing
1885-04-24,Morning Post,The Primrose League,3,"St. Mary's Schoolrooms, Whitechapel",neutral,,,,politics
1885-04-24,Shields Daily Gazette,Col. Majendie's Opinion,3,"Admiralty offices, Whitechapel",negative,,yes,,bombing
1885-04-25,Freeman's Journal,East London Hibernian Club and Institue,3,"4 Thomas Street, Whitechapel",neutral,,,,"politics, election"
1885-04-26,Lloyd's Weekly Newspaper,The Marquis of Ripon on Co-operation,4,"Hooper Square, Leman Street, Whitechapel",neutral,,,,"unemployment, economy"
1885-04-28,Morning Post,Arrangements for this day,5,"London Hospital, Whitechapel Road",positive,,,,"royal patronage, donation"
1885-04-28,Pall Mall Gazette,By command of the Princess Christian...,9,"London Hospital, Whitechapel",positive,,,,"royal patronage, donation"
1885-04-28,St. James's Gazette,By command of the Princess Christian...,9,"London Hospital, Whitechapel",positive,,,,"royal patronage, donation"
1885-05-01,St. James's Gazette,Capture of Burglars,9,"91 Leman street, Whitechapel",negative,,yes,,burglary
1885-05-02,Illustrated Police News,Items of News,4,"Baker's Row, Whitechapel",negative,,yes,,assault
1885-05-03,Lloyd's Weekly Newspaper,Fires in the Metropolis,3,"Middlesex Street, Whitechapel",neutral,,,,fire
1885-05-04,London Daily News,To-Day,6,"Drill Hall, Whitechapel",positive,,,,royal visit
1885-05-05,Pall Mall Gazette,Princess Louise in the East-End,10,"Drill Hall, Whitechapel",positive,,,,royal visit
1885-05-05,London Daily News,The Princess Louise in the East End,6,"Drill Hall, Whitechapel",positive,,,,royal visit
1885-05-06,Pall Mall Gazette,The Bible Society,9,Exeter Hall,positive,,,yes,religion
1885-05-06,Hampshire Advertiser,The Working Classes and the Budget,4,"Leman Street, Whitechapel",neutral,,,,"meeting, politics, unemployment"
1885-05-08,Chelmsford Chronicle,County and Other Items,5,Whitechapel Road,positive,,,,royal visit
1885-05-09,Freeman's Journal,The Princess Louise...,1,"Drill Hall, Whitechapel",positive,,,,royal visit
1885-05-09,Chepstow Weekly Advertiser,Damages for a Tramway Car Accident,2,Whitechapel Road,neutral,,,,"accident, lawsuit"
1885-05-10,Lloyd's Weekly Newspaper,East London Industrial Exhibition,7,"Drill Hall, Whitechapel",positive,,,,royal visit
1885-05-10,Reynolds's Newspaper,The Court,5,"Drill Hall, Whitechapel",positive,,,,royal visit
1885-05-11,Morning Post,The Exhibition in the East End-Letters to the Editor,3,"Drill Hall, Whitechapel",positive,,,yes,"improvement, exhibition"
1885-05-11,London Evening Standard,The Beer and Spirit Duties,3,"Trafalgar Hotel, Leman street, Whitechapel",neutral,,,,"demonstrations, politics"
1885-05-11,Pall Mall Gazette,The Root of the Evil- The Separation of Classes,12,"Toynbee Hall, Whitechapel",positive,,,,"class, politics"
1885-05-12,Pall Mall Gazette,Princess Christian at Poplar,10,"Drill Hall, Whitechapel",positive,,,,royal visit
1885-05-13,Aberdeen Evening Express,The Dynamite Explosions,3,"30 Great Prescott street, Whitechapel",negative,,yes,,"bombing, trial, testimony"
1885-05-13,Aberdeen Free Press,The Dynamite Explosions,6,"30 Great Prescott street, Whitechapel",negative,,yes,,"bombing, trial, testimony"
1885-05-14,Aberdeen Free Press,The Dynamite Explosions,5,"30 Great Prescott street, Whitechapel",negative,,yes,,"bombing, trial, testimony"
1885-05-14,Banbury Advertiser,The Dynamite Outrages,5,"30 Great Prescott street, Whitechapel",negative,,yes,,"bombing, trial, testimony"
1885-05-15,Cornubian and Redruth Times,Art and Literature,3,"Toynbee Hall, Whitechapel",positive,,,,history
1885-05-15,Aberdeen Evening Express,The Dynamite Explosions,3,"Tenter Street, Whitechapel",negative,,yes,,"bombing, trial, testimony"
1885-05-16,Freeman's Journal,East London Hibernian Club,7,"4 Thomas Street, Whitechapel",neutral,,,,politics
1885-05-16,The Graphic,Toynbee Hall and the Workmen's Exhibition,15,"Drill hall, Whitechapel",positive,,,,"class, improvement, exhibition"
1885-05-16,Aberdeen Free Press,The Dynamite Explosions,5,"Tenter Street, Whitechapel",negative,,yes,,"bombing, trial, testimony"
1885-05-18,Sheffield Daily Telegraph,General News,3,"72 Mansell Street, Whitechapel",negative,,yes,,photographs
1885-05-21,London Daily News,Toynbee Hall,3,"Toynbee Hall, Whitechapel",positive,,,,"education, improvement"
1885-05-22,Chelmsford Chronicle,Daring Robbery,8,Whitechpael Road,negative,,yes,,robbery
1885-05-23,Shoreditch Observer,Professor Stuart on University Teaching,3,"Toynbee Hall, Whitechapel",positive,,,,"education, improvement"
1885-05-23,Morning Post,The East London Exhibition,2,"Drill Hall, Whitechapel",positive,,,,"Lord Mayor, exhibition"
1885-05-23,Berkshire Chronicle,Miscellaneous Intelligence,7,"72 Mansell Street, Whitechapel",negative,,yes,,"photographs, copyright"
1885-05-23,Buckingham Advertiser,Epitome of News,3,"72 Mansell Street, Whitechapel",negative,,yes,,"photographs, copyright"
1885-05-23,Buckingham Advertiser,The Dynamite Outrages,2,"11 Tenter Street, Whitechapel",negative,,yes,,"bombing, trial, testimony"
1885-05-23,Bury Free Press,Epitome of News,3,"72 Mansell Street, Whitechapel",negative,,yes,,"photographs, copyright"
1885-05-23,Bury Free Press,The Dynamite Outrages,2,"11 Tenter Street, Whitechapel",negative,,yes,,"trial, witnesses"
1885-05-23,Chepstow Weekly Advertiser,Epitome of News,3,"72 Mansell Street, Whitechapel",negative,,yes,,"photographs, copyright"
1885-05-27,Morning Post,Middlesex Sessions,2,"Commercial Street, Whitechapel",negative,,yes,,theft
1885-05-27,Pall Mall Gazette,Palace of Light for the East End,12,"London and Westminster Bank , Whitechapel Branch",positive,,,,People's Palace
1885-05-31,Lloyd's Weekly Newspaper,Fires in the Metropolis,12,"31 Leman street, Whitechapel",neutral,,,,fire
1885-06-03,Morning Post,Arrangements for this day,5,"New Working Lads Institute, Whitechapel",positive,,,,"bazzar, building fund"
1885-06-03,London Evening Standard,Working Lads Institute in London,3,"The Mount, Whitechapel",positive,,,,"bazzar, building fund"
1885-06-03,St. James's Gazette,Working Lads Institute in London,13,Cannon-street Hotel,positive,,,,"bazzar, building fund"
1885-06-04,Morning Post,Arrangements for this day,5,"Drill Hall, Whitechapel",positive,,,,prizes
1885-06-04,London Daily News,To-day,5,"Dril Hall, Whitechapel",positive,,,,prizes
1885-06-07,Lloyd's Weekly Newspaper,New Working Lads' Institute,7,"Working Lads' Institute, Whitechapel",positive,,,,building
1885-06-08,St. James's Gazette,A Money-Lending Case,12,"Leman street, Whitechapel",negative,,,,"loan, court case, debt"
1885-06-11,London Evening Standard,Fires and loss of life in London,2,"105 Oxford Street, Whitechapel",negative,,,,"fire, death"
1885-06-11,Morning Post,Fires and Loss of Life,6,"105 Oxford Street, Whitechapel",negative,,,,"fire, death"
1885-06-11,St. James's Gazette,A Fatal Fire,11,"105 Oxford Street, Whitechapel",negative,,,,"fire, death"
1885-06-13,The Graphic,"St. Jude's, Whitechapel",25,"Toynbee Hall, Whitechapel",positive,,,yes,"Rev. Barnett, improvement, religion"
1885-06-13,Illustrated Police News,Items of News,4,"1 Little Alie Street, Whitechapel",negative,,yes,,violent assault
1885-06-13,Bury Free Press,Epitome of News,6,"105 Oxford Street, Whitechapel",negative,,,,"fire, death"
1885-06-14,Lloyd's Weekly Newspaper,The Working Lads' Institute,4,"Working Lads' Institute, Whitechapel road",positive,,,,building
1885-06-14,Lloyd's Weekly Newspaper,The Marquis of Ripon at the East End,5,"Drill Hall, Whitechapel Road",positive,,,,"improvement, exhibition, prizes"
1885-06-14,Lloyd's Weekly Newspaper,Fires in the Metropolis,12,"105 Oxford Street, Whitechapel",negative,,,,"fire, death"
1885-06-17,Morning Post,The Sugar Trade and the Budget,2,"Central Club House, Whitechapel",neutral,,,,politics
1885-06-18,Nottingham Evening Post,The first annual report...,2,"Toynbee Hall, Whitechapel",positive,,,,"education, class"
1885-06-20,Illustrated Police News,Items of News,4,"The Veteran, Whitechapel Road",negative,,yes,,vandalism
1885-06-20,Bury Free Press,Church Reform,2,"Toynbee Hall, Whitechapel",neutral,,,,religion
1885-06-20,Freeman's Journal,East London Hibernian Club and Institute,4,"4 Thomas Street, Whitechapel",neutral,,,,politics
1885-06-20,Beverley and East Riding Recorder,Fatal Fire in East London,2,"105 Oxford Street, Whitechapel",negative,,,,"fire, death"
1885-06-20,Buckingham Advertiser,Church Reform,3,"Toynbee Hall, Whitechapel",neutral,,,,religion
1885-06-20,Bury Free Press,Church Reform,2,"Toynbee Hall, Whitechapel",neutral,,,,religion
1885-06-24,Pall Mall Gazette,The Whitechapel Murder,9,Central Criminal Court,neutral,,yes,,"Murder, court"
1885-06-25,Morning Post,Central Criminal Court,6,Central Criminal Court,negative,,yes,,"Murder, court"
1885-06-25,Morning Post,The Government and Sugar Bounties,6,"Leman street, Whitechapel",neutral,,yes,,"politics, sugar bounties"
1885-06-25,Daily News,"""The Murder in Whitechapel""",3,White Hart pub on Turner St.,negative,,yes,,"Murder, Trial"
1885-06-26,Western Daily Press,London Letter,3,"Toynbee Hall, Whitechapel",positive,,,,"parties, class, Rev. Barnett"
1885-06-27,Bury Free Press,The Government and Foreign Sugar Bounties,2,"Leman street, Whitechapel",neutral,,,,"politics, sugar bounties"
1885-06-28,Lloyd's Weekly Newspaper,"""The Whitechapel Murder""",4,"Rutland St, Whitechapel",negative,,yes,,"Murder, Trial"
1885-06-28,Lloyd's Weekly Newspaper,Yesterday's Inquests,12,"21 Newnham Street, Whitechapel",negative,,,,"inquest, death, suicide"
1885-06-30,Cheltenham Chronicle,"Henry Alt, a German...",2,Central Criminal Court; Whitechapel,negative,,yes,,"murder, trial"
1885-07-02,Banbury Advertiser,Murder Through Jealousy,7,Central Criminal Court; Whitechapel,negative,,yes,,"murder, trial"
1885-07-04,Pall Mall Gazette,Occasional Notes,3,"Bell-lane, Whitechapel",negative,,,yes,"overcrowding, Metropolitan Board of Works"
1885-07-04,St. James's Gazette,Music for the People,4,"Toynbee Hall, Whitechapel",positive,,,,"music, show"
1885-07-05,Lloyd's Weekly Newspaper,Coroner's Inquests,3,"21 Newnham Street, Whitechapel",negative,,,,"inquest, death, suicide"
1885-07-05,Lloyd's Weekly Newspaper,Fires in the Metropolis,12,"54 Leman Street, Whitechapel",neutral,,,,fire
