Date (yr-month-day),Newspaper title,Article Title,page(s),Location,Overall Portrayal,Prostitution/Sex,Crime,Poverty,Keywords
1886-06-12,Reading Mercury,Condensed Intelligence,8,"Pavilion Yard, Whitechapel",negative,,,,"protest, ""Sweaters"", tailors"
1886-06-12,The Graphic,"The Synagogue in Sandy's Row, Bishopsgate",12,"Sandy's row, Bishopsgate",neutral,,,,"Mr. S. Montagu, religion, improvement"
1886-06-13,Lloyd's Weekly Newspaper,Yesterday's Summary,12,"7 Gordon Place, Chicksand street, Whitechapel",neutral,,,,"accident, injury"
1886-06-17,London Daily News,To-day,6,"St. Mary's School, Whitechapel",neutral,,,,immigrants
1886-06-18,St. James's Gazette,Highway Robberies,12,"  82 Chamber street, Whitechapel",negative,,yes,,theft
1886-06-19,Illustrated Police News,Highway Robbery,4,Whitechapel Road,negative,,yes,,robbery
1886-06-19,Manchester Courier and Lancashire General Advertiser,230 Times Convicted,16,"  High street, Whitechapel",negative,,yes,,"drunkeness, swearing"
1886-06-23,Pall Mall Gazette,Refusing to Share the Plunder,10,"Prescot street, Whitechapel",negative,,yes,,robbery
1886-06-23,London Daily News,A Day in the Country,3,"St. Mark's, Whitechapel",neutral,,,,"charity, donations, children"
1886-06-23,London Daily News,To-day,6,"Working Lads' Institute, Whitechapel",neutral,,,,"construction, improvement"
1886-06-24,The Times,The Murder and Suicide at Bow,10,London Hospital,negative,,yes,,"Inquest, Murder, Suicide"
1886-06-24,The Times,Beaumont Trust,10,Whitechapel Road,positive,,,,"Royal visit, People's Palace, donations"
1886-06-24,Banbury Advertiser,Miscellaneous,7,"Working Lads' Institute, Whitechapel",positive,,,,royal patronage
1886-06-26,Morning Post,Election Intelligence,2,"Christ Church Schools, Brick-lane, Whitechapel",negative,,,,"election, politics"
1886-06-26,The Times,Police,6,"41 Nottingham-Place, Whitechapel",negative,,yes,,"Overdue rent, legal distrain"
1886-06-26,Leicester Chronicle,Our Ladies' Column,9,Whitechapel Road,positive,,,,visit
1886-06-26,Buckingham Advertiser,The Queen has...,3,"Working Lads' Institute, Whitechapel",positive,,,,royal patronage
1886-06-26,Illustrated London News,The Queen has...,677,"Working Lads' Institute, Whitechapel Road",positive,,,,donation
1886-06-27,Lloyd's Weekly Newspaper,Savage Assault by a Woman,4,"High street, Whitechapel",negative,,yes,,"assaulting an officer, drunkeness"
1886-06-27,Lloyd's Weekly Newspaper,Profits on Cheap Bread,12,"11 Fieldgate street, Whitechapel",negative,,,,"Lawsuit, employment"
1886-06-27,Lloyd's Weekly Newspaper,Missing,7,"Buck's Row, Whitechapel",negative,,,,missing person
1886-06-28,The Times,Police,4,"11 Ellen's Place, Whitechapel",negative,,yes,,"Girl, offence"
1886-06-29,London Daily News,The General Election,3,"Christ Church Schools, Brick-lane, Whitechapel",neutral,,,,"election, politics"
1886-06-29,London Evening Standard,Royal Visit to the East End,5,Whitechapel Church,positive,,,,royal visit
1886-06-29,Aberdeen Free Press,Special Correspondence,7,Whitechapel road,positive,,,,royal visit
1886-06-29,Belfast News-letter,The Prince of Wales at the East End of London,5,Whitechapel Road,positive,,,,royal visit
1886-06-29,Morning Post,Royal Visit to Mile-End,5,Whitechapel Road,positive,,,,royal visit
1886-06-30,London Evening Standard,The General Election,3,"St. Mark's Schools, Whitechapel",neutral,,,,"election, politics"
1886-07-01,Morning Post,The General Election,2,"St. Mary's Schools, Whitechapel",neutral,,,,"election, politics"
1886-07-01,Banbury Advertiser,Royal Visit to the East End,7,Whitechapel Road,positive,,,,royal visit
1886-07-02,The Pall Mall Gazette,"""Whitechapel Children in Suffolk""",11," St. Mary's School, Whitechapel",positive,,,yes,"Children, Charity, Countryside"
1886-07-02,The Pall Mall Gazette,"""Whitechapel Children in Suffolk""",11,"St. Mary's School, Whitechapel",positive,,,yes,"Children, Charity, Countryside"
1886-07-03,Illustrated Police News,Police Intelligence,3,"11 Ellen's place, Whitechapel",negative,yes,yes,,"sexual assault, girl"
1886-07-03,Buckingham Advertiser and Free Press,Epitome of News,3,"Working Lads' Institute, Whitechapel",positive,,,,construction
1886-07-07,London Evening Standard,The General Election,3,Vestry Hall ,neutral,,,,"election, politics"
1886-07-08,Banbury Advertiser,The following legend was...,7,"Queen's Arms, Whitechapel Road",neutral,,,,royal visit
1886-07-09,The Times,Police,3,"38 Philip-Square, Whitechapel",neutral,,,,"betting, obstructing road"
1886-07-10,Illustrated Police News,At Thames Police Court...,4,"  High street, Whitechapel",negative,,yes,,assaulting an officer
1886-07-13,London Evening Standard,Police Intelligence,6,Whitechapel Road,negative,,yes,,"gambling, fraud"
1886-07-13,Freeman's Journal,London Correspondence,6,"Hibernian Club, Whitechapel",neutral,,,,"politics, Irish"
1886-07-16,The Times,Appeals,3,St. Mark's Vicarage,neutral,,,yes,"Donations, day-trip, children"
1886-07-17,Illustrated Police News,Items of News,4," New-road, Whitechapel",neutral,,,,missing person
1886-07-18,Lloyd's Weekly Newspaper,Yesterday's Summary,12,"London Hospital, Whitechapel road E.",neutral,,,,"accident, injury, burn"
1886-07-20,Nottingham Evening Post,The Crawford Divorce Case,3,"St. Jude's Vicarage, Whitechapel",neutral,,,,"divorce, lawsuit"
1886-07-21,Aberdeen Free Press,The Crawford Divorce Case,5,"St. Jude's Vicarage, Whitechapel",neutral,,,,"lawsuit, divorce"
1886-07-21,Aberdeen Journal,The Crawford-Dilke Divorce Case,5,"St. Jude's Vicarage, Whitechapel",neutral,,,,"lawsuit, divorce"
1886-07-23,The Times,Middlesex Sessions,3,"Salmon-lane, Whitechapel",negative,,yes,,"Theft, Ivory"
1886-07-25,Lloyd's Weekly Newspaper,Yesterday's Police,12,"6 George street, Whitechapel",negative,,yes,,"robbery, unemployment"
1886-07-25,Reynolds's Newspaper,The Police Courts,8,"common lodging house, Old Montague place, Whitechapel",negative,,yes,,"breaking and entering, burglary"
1886-07-25,Lloyd's Weekly Newspaper,Crawford Divorce Suit,2,"St. Jude's, Commercial Road, Whitechapel",neutral,,,,"Lawsuit, Rev. Barnett"
1886-07-27,Morning Post,Charge of Wounding,3,Whitechapel road,negative,,yes,,"robbery, assaulting an officer"
1886-07-28,The Times,Inquest,10,"Whittington Club, Leman street, Whitechapel",neutral,,,,"Inquest, death"
1886-07-31,Hemel Hempstead Gazette and West Herts Advertiser,The Foreign Bounty Question,6,"Trafalgar Hotel, Leman street, Whitechapel",neutral,,,,"unemployment, sugar bounties, politics"
1886-08-02,London Evening Standard,Board School Playgrounds-Letters to the Editor,2,Old Castle street playground,negative,,,,"Playground, open spaces"
1886-08-02,Morning Post,The Foreign Bounty Question,6,"Trafalgar Hotel, Leman street, Whitechapel",neutral,,,,"unemployment, sugar bounties, politics"
1886-08-06,London Evening Standard,Cadet Corps for East London,3,"Whittington Club, Leman street, Whitechapel",neutral,,,,"donations, club"
1886-08-08,Reynolds's Newspaper,Fires in London,8,"54 Leman street, Whitechapel",neutral,,,,fire
1886-08-09,The Times,Police,3," 26 Little Alie-Street, Whitechapel",negative,,yes,,"Factory Act violation, labour"
1886-08-09,Morning Post,Lord Salisbury and the Working Classes,3,"Central Council Rooms, Leman Street, Whitechapel",positive,,,,"unemployment, politics"
1886-08-09,London Evening Standard,Police Intelligence,3,"  26 Little Alie-street, Whitechapel",negative,,,,"Factory Act violation, labour"
1886-08-10,St. James's Gazette,Fatal Fire in Whitechapel,8,42 Whitechapel Road,neutral,,,,"fire, death"
1886-08-10,Belfast News-letter,Fatal Fire,5,Whitechapel Road,neutral,,,,"fire, death"
1886-08-13,Pall Mall Gazette,The Fatal Fire in Whitechapel,10,"London Hospital, Whitechapel road E.",neutral,,,,"fire, death, inquest"
1886-08-13,London Evening Standard,The Fatal Fire in Whitechapel,2,"London Hospital, Whitechapel road E.",neutral,,,,"fire, death, inquest"
1886-08-14,The Era,Provincial Theatricals,16,"Sunderland, Avenue-theatre; Whitechapel",neutral,,,,"theatre, review"
1886-08-14,Bucks Herald,General Intelligence,3,Whitechapel road,neutral,,,,"fire, death"
1886-08-15,Lloyd's Weekly Newspaper,Alleged Shocking Murder,12,"37 Flower and Dean street, Whitechapel",negative,,yes,,"death, inquest"
1886-08-15,Lloyd's Weekly Newspaper,Fires in the Metropolis,3,"21 Little Alie street, Whitechapel",neutral,,,,fire
1886-08-15,Lloyd's Weekly Newspaper,Fatal Fall out of Bed,12,"82 Old Montagu street, Whitechapel",neutral,,,,"accident,death, inquest"
1886-08-17,Exeter and Plymouth Gazette,Cowardly Revenge on a witness,3," 92 High street, Whitechapel",negative,,yes,,"theft, assault"
1886-08-18,Edinburgh Evening News,Capture of a Desperate Burglar,3,"125 High street, Whitechapel",negative,,yes,,"breaking and entering, assaulting an officer"
1886-08-18,The Times,Police,18,"125 High-Street, Whitechapel",negative,,yes,,"Breaking and Entering, Assaulting an officer"
1886-08-19,London Evening Standard,Police Intelligence,2,"125 High street, Whitechapel",negative,,yes,,"breaking and entering, assaulting an officer, witness testimony"
1886-08-19,Birmingham Daily Post,Desperate Struggle with a burglar,4,"125 High street, Whitechapel",negative,,yes,,"breaking and entering, assaulting an officer, witness testimony"
1886-08-21,Illustrated Police News,"""The Fatal Fire in Whitechapel""",3,42 Whitechapel Road,negative,,yes,,"Fire, death, insurance"
1886-08-21,Illustrated Police News,"""The Fatal Fire in Whitechapel""",3,42 Whitechapel Road,negative,,yes,,"Fire, death, insurance"
1886-08-23,London Evening Standard,Fires,2,172 Whitechapel road,neutral,,,,fire
1886-08-24,Pall mall Gazette,Alleged Theft of a Child,9,"Chicksand street, Whitechapel",negative,yes,yes,,"kidnapping, sexual assault, child"
1886-08-26,Morning Post,Police Intelligence,6,"London Hospital, St. Mary Parish, Whitechapel",neutral,,,yes,"death, burial"
1886-08-28,Manchester Courier and Lancashire General Advertiser,A Strange Case,16,Whitechapel coffee house,negative,,yes,,"robbery, fraud"
1886-08-29,Reynolds's Newspaper,The Police Courts,3,"Chicksand street, Whitechapel",negative,yes,yes,,"kidnapping, sexual assault, child"
1886-09-01,Morning Post,Police Intelligence,6, Whitechapel Church,negative,,yes,,"marriage, domestic violence, religion"
1886-09-01,Aberdeen Journal,A Jewish Marriage Difficulty,7, Whitechapel Church,negative,,yes,,"marriage, domestic violence, religion"
1886-09-03,Gloucester Citizen,Novel Deputation,4,"Sailors' Home, Wells street, Whitechapel",neutral,,,,"employment, politics"
1886-09-04,Illustrated Police News,Items of News,4,"  Mansfield-street, Whitechapel",negative,,yes,,assaulting an officer
1886-09-06,The Times,Police,3,"  Leman-Street, Whitechapel",negative,,yes,,"Attempted Stabbing, assault on police, drunkeness"
1886-09-06,The Times,Police,3,"  33 Harding Street, Commercial Road",neutral,,,,missing person
1886-09-06,Morning Post,The Government and Foreign Sugar Bounties,3,"Trafalgar Hotel, Leman street, Whitechapel",neutral,,,,"politics, sugar bounties"
1886-09-07,The Times,Police,4,"14 Fieldgate street, Whitechapel",negative,,yes,,"assault, outrage"
1886-09-09,The Times,Inquests,12,Whitechapel Infirmary,negative,,,yes,"Illness, death"
1886-09-12,Lloyd's Weekly Newspaper,Police Intelligence,4,"14 Fieldgate street, Whitechapel",negative,,yes,,"violent assault, Sunday baking"
1886-09-12,Lloyd's Weekly Newspaper,Yesterday's Inquests,12,"Weaver's Arms Tavern, Baker's Row, Whitechapel",neutral,,,,"drinking, inquest, death"
1886-09-14,The Times,Police,3,"14 Fieldgate street, Whitechapel",negative,,yes,,"assault, outrage"
1886-09-15,Morning Post,Police Intelligence,6,"  High Street, Whitechapel",negative,,yes,,theft
1886-09-17,Morning Post,Central Criminal Court,6,Whitechapel Road,negative,,yes,,"burglary, assaulting an officer"
1886-09-17,London Evening Standard,Central Criminal Court,3,Whitechapel Road,negative,,yes,,"burglary, assaulting an officer"
1886-09-17,Aberdeen Free Press,Heavy Sentence for Murderous Assault,6,Whitechapel Road,negative,,yes,,"burglary, assaulting an officer"
1886-09-17,Aberdeen Journal,Assault on the Police,5,Whitechapel Road,negative,,yes,,"burglary, assaulting an officer"
1886-09-17,Belfast News-letter,Twelve Years' Penal Servitude,5,Whitechapel Road,negative,,yes,,"burglary, assaulting an officer"
1886-09-17,Bristol Mercury,Assaults on Constables,8,Whitechapel Road,negative,,yes,,"burglary, assaulting an officer"
1886-09-20,Pall mall Gazette,Occasional Notes,4,Whitechapel Road,negative,,,yes,"employment, labour, politics"
1886-09-21,Morning Post,Suspected Murder of a Doctor,3,"98  Leman street, Whitechapel",negative,,yes,,"inquest, death, mystery"
1886-09-26,Lloyd's Weekly Newspaper,Yesterday's Inquests,12,"London Hospital, Whitechapel road E.",neutral,,,,"accident, death, inquest"
1886-09-26,Lloyd's Weekly Newspaper,Sunday Baking,3,"  4 Castle street, Old montagu street, Whitechapel",neutral,,,,Sunday baking
1886-10-01,Pall mall Gazette,"Toynbee Hall, Whitechapel",14,"Toynbee Hall, 28 Commercial street, Whitechapel",neutral,,,,"lectures, education"
1886-10-02,Morning Post,University Extension Society,2,"Toynbee Hall, 28 Commercial street, Whitechapel",neutral,,,,"lectures, education"
1886-10-03,Reynolds's Newspaper,Fires in London,1,246 Whitechapel Road,neutral,,,,fire
1886-10-03,Lloyd's Weekly Newspaper,University Teaching,1,"Toynbee Hall, 28 Commercial street, Whitechapel",positive,,,,"lectures, education"
1886-10-03,Buckingham Advertiser,Epitome of News,7,"Toynbee Hall, 28 Commercial street, Whitechapel",neutral,,,,"religion, lecture"
1886-10-04,Daily News,"""A Whitechapel University""",6,"Toynbee Hall, 28 Commercial street, Whitechapel",positive,,,,"Education, learning, science"
1886-10-04,Pall Mall Gazette,Mr. Norman Lockyer on the Study of Astronomy,12,"Toynbee Hall, 28 Commercial street, Whitechapel",positive,,,,"lectures, education"
1886-10-05,Morning Post,Alleged Robbery of £150,3,"  Crown and Seven Stars pub, Royal Mint Street, Whitechapel",negative,,yes,,robbery
1886-10-05,London Daily News,A Whitechapel University,6,"Toynbee Hall, 28 Commercial street, Whitechapel",positive,,,yes,"lectures, education, improvement"
1886-10-07,Aberdeen Journal,Mr. Norman Lockyer on Modern Astronomy,,"Toynbee Hall, 28 Commercial street, Whitechapel",positive,,,,"lectures, education"
1886-10-09,Western Daily Press,"The Destruction of ""Dust""",2,"Wentworth street, Whitechapel",neutral,,,yes,"Whitechapel Board of Guardians, sanitation"
1886-10-10,Lloyd's Weekly Newspaper,Fires in the Metropolis,3,"133 Commercial street, Whitechapel",neutral,,,,fire
1886-10-10,Lloyd's Weekly Newspaper,Mrs. Fawcett on Wycliffe,1,"Toynbee Hall, 28 Commercial street, Whitechapel",neutral,,,,"lecture, religion"
1886-10-10,Lloyd's Weekly Newspaper,Yesterday's Summary,12,Whitechapel Road,neutral,,,,injury
1886-10-11,The Times,A Jewish Lads' Institute,9,"Hutchinson-Street, Whitechapel",positive,,,,"Club, boys"
1886-10-11,Pall Mall Gazette,"The ""Oxford Movement"" in East London",11,"Toynbee Hall, 28 Commercial street, Whitechapel",positive,,,,"education, improvement"
1886-10-11,The Times,Popular Lectures ,6,"Toynbee Hall, 28 Commercial street, Whitechapel",neutral,,,,"lectures, Church history"
1886-10-12,Morning Post,Police Intelligence,2,"  Crown and Seven Stars pub, Royal Mint Street, Whitechapel",negative,,yes,,robbery
1886-10-12,The Times,Police,3,"  Crown and Seven Stars Pub, Royal Mint Street, Whitechapel",negative,,yes,,Theft
1886-10-13,Morning Post,Middlesex Sessions,3,"King's Arms court, Whitechapel",negative,,yes,,"breaking and entering, burglary"
1886-10-14,Morning Post,Middlesex Music and Dancing Licenses,3,"White Hart, Leman street, Whitechapel",neutral,,,,music licenses
1886-10-15,Morning Post,The Registration Courts,2,"Great Alie street, Whitechapel",neutral,,,,"election, voters lists"
1886-10-15,The Times,Toynbee-Hall,9,"Toynbee Hall, 28 Commercial street, Whitechapel",positive,,,,"Improvement, Education, Universities"
1886-10-16,Illustrated Police News,Violent Assault,4,"  36 Charlotte street, Whitechapel",negative,,yes,,"domestic violence, assault"
1886-10-16,Illustrated London News,Last Saturday night...,405,"Toynbee Hall, 28 Commercial street, Whitechapel",neutral,,,,"lectures, religion"
1886-10-17,Reynolds's Newspaper,Middlesex Sessions,3,"King's Arms court, Whitechapel",negative,,yes,,"breaking and entering, burglary"
1886-10-17,Reynolds's Newspaper,The Dangers of Police Evidence,6,"  Mount street, Whitechapel",negative,,yes,,"disorderly conduct, assaulting an officer"
1886-10-17,Reynolds's Newspaper,Fires in London,8,"93 Backchurch lane, Whitechapel",neutral,,,,fire
1886-10-18,Morning Post,Sir Charles Warren on the Exploration of the Palastine,3,"Toynbee Hall, 28 Commercial street, Whitechapel",positive,,,,"religion, lecture, improvement"
1886-10-18,The Times,Editorial ,9,"Toynbee Hall, 28 Commercial street, Whitechapel",positive,,,yes,"Improvement, Classes, Universities' Settlement"
1886-10-19,Morning Post,Police Intelligence,2,"  Crown and Seven Stars pub, Royal Mint Street, Whitechapel",negative,,yes,,robbery
1886-10-19,The Times,Police,13,"  Crown and Seven Stars Pub, Royal Mint Street, Whitechapel",negative,,yes,,Theft
1886-10-19,Morning Post,Mr. Leslie Stephen...,5,"Toynbee Hall, 28 Commercial street, Whitechapel",neutral,,,,lecture
1886-10-23,The Era,Cruelty to a Performig Bear,19,"  New Road, Whitechapel",negative,,yes,,assault
1886-10-23,Illustrated London News,The action of the...,422,"Toynbee Hall, 28 Commercial street, Whitechapel",neutral,,,,"lecture, University Extension Society"
1886-10-23,Morning Post,Arrangements for this Day,5,"Toynbee Hall, 28 Commercial street, Whitechapel",neutral,,,,lecture
1886-10-23,Bury Free Press,Epitome of News,3,"Toynbee Hall, 28 Commercial street, Whitechapel",neutral,,,,"lecture, religion"
1886-10-23,Chepstow Weekly Advertiser,Epitome of News,2,"Toynbee Hall, 28 Commercial street, Whitechapel",neutral,,,,"lecture, religion"
1886-10-25,London Evening Standard,Alpine Climbing,3,"Toynbee Hall, 28 Commercial street, Whitechapel",neutral,,,,lecture
1886-10-25,Morning Post,Mr. Leslie Stephen on Alpine Climbing,5,"Toynbee Hall, 28 Commercial street, Whitechapel",neutral,,,,lecture
1886-10-28,The Times,Police,3,Whitechapel Road,negative,,yes,,"Assault, murder, witness"
1886-10-28,St. James's Gazette,Serious Fire in Whitechapel,11," Commercial street, Whitechapel",neutral,,,,fire
1886-10-29,London Evening Standard,Police Intelligence,6,"  Earl of Warwick pub, Whitechapel Road",negative,,yes,,theft
1886-10-29,Morning Post,Police Intelligence,2,"  Earl of Warwick pub, Whitechapel Road",negative,,yes,,theft
1886-10-29,London Daily News,The Police Courts,6,"  Earl of Warwick pub, Whitechapel Road",negative,,yes,,theft
1886-10-30,Birmingham Daily Post,Gleanings,7,"  Earl of Warwick pub, 191 Whitechapel Road",negative,,yes,,"theft, embezzelment"
1886-10-30,London Daily News,The Recent Magisterial Censure of a Constable,6,"  East Mount street, Whitechapel",negative,,yes,,"police brutality, assault"
1886-10-30,The Times,Police,7,"  East Mount-Street, Whitechapel",negative,,yes,,Police brutality
1886-10-31,Lloyd's Weekly Newspaper,Fires in the Metropolis,3,"112 Commercial street, Whitechapel",neutral,,,,fire
1886-11-01,St. James's Gazette,The Socialists and the Lord Mayor's Show,11,"Central Rooms, Leman street, Whitechapel",positive,,,yes,"unemployment, Lord Mayor"
1886-11-01,The Times,At a largely attened meeting-,9,"Central Rooms, Leman-Street, Whitechapel",positive,,,yes,"Working men, Unemployed, Lord Mayor"
1886-11-01,The Times,The New Zealand Eruption,6,"Toynbee Hall, 28 Commercial street, Whitechapel",neutral,,,,"Lectures, New Zealand"
1886-11-02,London Daily News,Southern Conference of General Baptists,6,"Commercial road Chapel, Whitechapel",neutral,,,,religion
1886-11-05,London Evening Standard,The following address was...,5,"St. Luke's, Whitechapel",negative,,,yes,"poverty, unemployment, politics"
1886-11-06,Bury Free Press,A Constable Sent to Prison,2,"  Great Mount street, Whtiechapel",negative,,yes,,"assault, police brutality"
1886-11-06,Illustrated Police News,Items of News,4, Whitechapel Road,negative,,yes,,violent assault
1886-11-06,Morning Post,Arrangements for this Day,5,"Toynbee Hall, 28 Commercial street, Whitechapel",neutral,,,,lecture
1886-11-06,The Times,Police,6,"Baker's Row, Whitechapel",negative,,,yes,"Suicide, tailoress"
1886-11-08,Aberdeen Free Press,London Workmen and the Socialists,5,"Central Rooms, Leman street, Whitechapel",neutral,,,,"unemployment, labour, socialism"
1886-11-09,Dundee Evening Telegraph,The Lord Mayor's Show,3,"Commercial Road, Whitechapel",negative,,yes,,"roughs, disturbances"
1886-11-09,London Daily News,"Special Religious Service in Theatres, Halls and Mission Rooms-Letters to the Editor",3,"Pavilion Theatre, 85 Whitechapel road",positive,,,,religion
1886-11-10,The Times,Lord Mayor's Day,6,Commercial-road and Whitechapel road,neutral,,,,"Procession, Lord Mayor, roughs"
1886-11-12,The Times,Toynbee-Hall,9,"Toynbee Hall, 28 Commercial street, Whitechapel",neutral,,,,"Lectures, history"
1886-11-13,Blackburn Standard,Lord Mayor's Day in London,6,"Commercial road, Whitechapel",negative,,,,parade
1886-11-13,Northhampton Mercury,How to Bridge the Gulf,5,"Toynbee Hall, 28 Commercial street, Whitechapel",positive,,,yes,"improvement, education"
1886-11-14,Lloyd's Weekly Newspaper,New Reading of the Adulteration Act,7,"248 Commercial road, Whitechapel",neutral,,,,sanitation
1886-11-14,Lloyd's Weekly Newspaper,Mr. Fredk. Harrison on Civilisation,1,"Toynbee Hall, 28 Commercial street, Whitechapel",neutral,,,,"lecture, history"
1886-11-15,Morning Post,Arrangements for this Day,5,"Toynbee Hall, 28 Commercial street, Whitechapel",neutral,,,,charity
1886-11-15,The Times,Mr. F. Harrison on Cities,6,"Toynbee Hall, 28 Commercial street, Whitechapel",neutral,,,,"Lectures, history"
1886-11-16,London Daily News,Political Meetings,3,"St. Mary's Schools, Whitechapel",neutral,,,,"politics, Irish, history"
1886-11-16,London Daily News,Yesterday,4,"Toynbee Hall, 28 Commercial street, Whitechapel",neutral,,,,chairty
1886-11-16,The Times,Mr. Frederic Harrison-,9,"Toynbee Hall, 28 Commercial street, Whitechapel",positive,,,,"Improvement, Civic Pride, lecture"
1886-11-17,The Times,Police,4,  Leman Street Police Station,neutral,,,,"army, false identities, suicide"
1886-11-18,The Times,Classified Advertisement- Whitechapel Union,14,"Infirmary, Baker's Row, Whitechapel",neutral,,,,"Job posting, medical professional"
1886-11-20,The Times,Classified Advertisement-London Hospital Training School for Nurses,3,London Hospital,neutral,,,,"London Hospital, nursing courses"
1886-11-20,London Daily News,Preachers for To-morrow,2,"Pavilion Theatre, 85 Whitechapel road",neutral,,,,"religion, sermon"
1886-11-20,Morning Post,Arrangements for this Day,2,"Toynbee Hall, 28 Commercial street, Whitechapel",neutral,,,,"lecture, education"
1886-11-22,The Times,Charge of Fraudulent Bankruptcy,7,"Commercial Road, Whitechapel",negative,,yes,,"Fraud, Colonial Office, Scotland Yard"
1886-11-22,The Times,Police,3,"Sailors' Home, Wells street, Whitechapel",negative,,yes,,"Stabbing, Sailor"
1886-11-24,London Evening Standard,Fires in London,3,"62 New Road, Whitechapel",neutral,,,,fire
1886-11-24,Pall Mall Gazette,Disestablishment and Democracy,8,"Toynbee Hall, 28 Commercial street, Whitechapel",neutral,,,,"Church reform, religion"
1886-11-25,Gloucester Citizen,Serious Fires: Loss of Life,3,"62 New Road, Whitechapel",neutral,,,,fire
1886-11-26,The Times,Police,13,  Whitechapel High Street,negative,,yes,,"Indecent Photographs, costermonger"
1886-11-26,Chelmsford Chronicle,A Chelmsford Man at the Pavilion,,"Pavilion Theatre, 85 Whitechapel road",positive,,,,"religion, temperance"
1886-11-27,Freeman's Journal,London East Hibernian Club,3,"4 Thomas street, Whitechapel",neutral,,,,"Irish, religion"
1886-11-27,Essex Newsman,A Chelmsford Man at the Pavilion,2,"Pavilion Theatre, 85 Whitechapel road",positive,,,,"religion, temperance"
1886-11-28,Reynolds's Newspaper,Fires in London,8,"62 New Road, Whitechapel",neutral,,,,fire
1886-12-02,London Evening Standard,Police Intelligence,3,"Commercial street, Whitechapel",negative,,yes,,fraud
1886-12-06,The Times,The Elephant Man- Letters to the Editor ,6,"London Hospital, Whitechapel road E.",negative,,,,"Incurable disease, elephant man, London Hospital"
1886-12-07,The Times,Royal Gift,10,"London Hospital, Whitechapel road E.",positive,,,,Donation
1886-12-10,Chelmsford Chronicle,Chigwell: The Case of Attempted Suicide,2,Whitechapel workhouse Mile End Road between South Grove and Lincoln St,negative,,,yes,attempted suicide
1886-12-11,Illustrated Police News,Indecent Photographs,4,Whitechapel High Street,negative,yes,yes,,"indecent photographs, costermongers"
1886-12-11,The Era,Fore Street Elocutionary society,7,London Hospital,neutral,,,,"show, fundraising"
1886-12-11,London Daily News,To-day,3,"Working Lads' Institute, Whitechapel",positive,,,,fundraising
1886-12-12,Lloyd's Weekly Newspaper,Working Lads' Institute,1,"Working Lads' Institute, Whitechapel",positive,,,,fundraising
1886-12-15,London Daily News,University Extension in Limehouse,6,"Toynbee Hall, Whitechapel",positive,,,,"education, improvement"
1886-12-17,The Times,Police,13,"20 Zion-Square, Whitechapel",negative,,yes,,"Breaking and entering, robbery"
1886-12-17,The Times,Classified Advertisement-Happy Evenings for the People in East London this Christmans,14,Whitechapel St Mary Rectory,positive,,,yes,"Charity, poor, Christmas"
1886-12-18,Flag of Ireland,Irish Co-operative Stores,1,"Irish Co-operative stores, Leman St, Whitechapel",positive,,,,"sale, Irish"
1886-12-19,Lloyd's Weekly Newspaper,Losing £50 in bank notes,12,"Red Lion and Spread Eagle Pub, 94 High street, Whitechapel",negative,,yes,,robbery
1886-12-20,The Times,Police,13,"Red Lion and Spread Eagle publichouse, High Street, Whitechapel",negative,,yes,,"Theft, publichouse"
1886-12-22,Morning Post,Police Intelligence,2,Whitechapel Road,negative,,yes,,"assault, costermonger"
1886-12-25,London Evening Standard,Police Intelligence,6,"Red Lion and Spread Eagle Pub, 94 High street, Whitechapel",negative,,yes,,robbery
1886-12-26,Lloyd's Weekly Newspaper,Alleged Drugging of a Publican,12,"Red Lion and Spread Eagle Pub, 94 High street, Whitechapel",negative,,yes,,robbery
1886-12-28,London Evening Standard,The Great Snowstorm,3,"High street, Whitechapel",neutral,,,,snowstorm
1886-12-28,St. James's Gazette,Art Exhibitions at...,5,"St. Jude's Schools, Whitechapel",positive,,,,"art show, improvement"
1886-12-29,London Daily News,The Charge of Stealing £167 ,7,"Crown and Seven Stars Pub, Royal Mint Street, Whitechapel",negative,,yes,,theft
1886-12-29,The Times,Police,5,"Crown and Seven Stars Pub, Royal Mint Street, Whitechapel",negative,,yes,,"Theft, publichouse"
1886-12-29,London Daily News,To-day,3,"St. Jude's Schools, Whitechapel",neutral,,,,art show
1886-12-30,The Times,Inquests,8,"Weaver's Arms Tavern, Baker's Row, Whitechapel",negative,,,yes,Inquest
